pso_options_c1,pso_options_c2,pso_options_w,pso_n_particles,pso_iter,origin_time,pso_time,origin_score,pso_score
0.0,1.6,1.9,120,50,4.076231399999983,9.438792899999953,0.5528441667556763,0.38447704911231995
0.0,1.6,1.9,120,75,4.0853256999999985,9.533366900000033,0.5528441667556763,0.34751710295677185
0.0,2.4000000000000004,0.4,20,50,4.123723299999938,9.407301999999845,0.5528441667556763,0.3567715585231781
0.0,2.4000000000000004,0.4,20,75,4.107594100000142,9.456859399999985,0.5528441667556763,0.32609525322914124
0.0,2.4000000000000004,0.4,70,50,4.129895300000044,9.49077659999989,0.5528441667556763,0.4206659197807312
0.0,2.4000000000000004,0.4,70,75,4.1293505000001005,9.512337500000058,0.5528441667556763,0.34751710295677185
0.0,2.4000000000000004,0.4,120,50,4.094406100000015,9.48159069999997,0.5528441667556763,0.35638317465782166
0.0,2.4000000000000004,0.4,120,75,4.075222100000019,9.437805300000036,0.5528441667556763,0.3201330900192261
0.0,2.4000000000000004,0.9,20,50,4.077380299999959,9.457102200000008,0.5528441667556763,0.43719571828842163
0.0,2.4000000000000004,0.9,20,75,4.1565947999999935,9.442897099999982,0.5528441667556763,0.3234420120716095
0.0,2.4000000000000004,0.9,70,50,4.091147200000023,9.495542200000045,0.5528441667556763,0.4206659197807312
0.0,2.4000000000000004,0.9,70,75,4.045323399999916,9.460361799999873,0.5528441667556763,0.33652645349502563
0.0,2.4000000000000004,0.9,120,50,4.08591720000004,9.458525799999961,0.5528441667556763,0.3340384364128113
0.0,2.4000000000000004,0.9,120,75,4.108886999999868,9.458363999999847,0.5528441667556763,0.3194373548030853
0.0,2.4000000000000004,1.4,20,50,4.156073699999979,9.4558791999998,0.5528441667556763,0.28677868843078613
0.0,2.4000000000000004,1.4,20,75,4.123378700000103,9.417261999999937,0.5528441667556763,0.34751710295677185
0.0,2.4000000000000004,1.4,70,50,4.0814838999999665,9.484021499999926,0.5528441667556763,0.43719571828842163
0.0,2.4000000000000004,1.4,70,75,4.084122100000059,9.446698100000049,0.5528441667556763,0.3477468490600586
0.0,2.4000000000000004,1.4,120,50,4.087107600000081,9.470738700000084,0.5528441667556763,0.5528441667556763
0.0,2.4000000000000004,1.4,120,75,4.1319983999999295,9.432529000000159,0.5528441667556763,0.33652645349502563
0.0,2.4000000000000004,1.9,20,50,4.0847808999999415,9.445284100000208,0.5528441667556763,0.3567715585231781
0.0,2.4000000000000004,1.9,20,75,4.15899330000002,9.494929299999967,0.5528441667556763,0.3567715585231781
0.0,2.4000000000000004,1.9,70,50,4.125694199999998,9.499631300000146,0.5528441667556763,0.43719571828842163
0.0,2.4000000000000004,1.9,70,75,4.104241000000002,9.52219100000002,0.5528441667556763,0.3705022931098938
0.0,2.4000000000000004,1.9,120,50,4.124125899999854,9.53304930000013,0.5528441667556763,0.32715508341789246
0.0,2.4000000000000004,1.9,120,75,4.0783824000000095,9.481660900000179,0.5528441667556763,0.3567715585231781
0.0,3.2,0.4,20,50,4.101972599999954,9.479865000000018,0.5528441667556763,0.3207245171070099
0.0,3.2,0.4,20,75,3.98252750000006,9.383205900000121,0.5528441667556763,0.3535175919532776
0.0,3.2,0.4,70,50,4.095236800000066,9.510464500000126,0.5528441667556763,0.5528441667556763
0.0,3.2,0.4,70,75,4.083200500000203,9.536656900000025,0.5528441667556763,0.3207245171070099
0.0,3.2,0.4,120,50,4.066022500000145,9.498021400000198,0.5528441667556763,0.38447704911231995
0.0,3.2,0.4,120,75,4.073149000000058,9.47895850000009,0.5528441667556763,0.35638317465782166
0.0,3.2,0.9,20,50,4.024966199999881,9.455217800000128,0.5528441667556763,0.3535175919532776
0.0,3.2,0.9,20,75,4.077062399999932,9.438676199999918,0.5528441667556763,0.34751710295677185
0.0,3.2,0.9,70,50,4.0874549000000115,9.445647999999892,0.5528441667556763,0.36302050948143005
0.0,3.2,0.9,70,75,4.147264599999971,9.422213399999919,0.5528441667556763,0.32715508341789246
